id,name,categoryName,price,currency,originalPrice,stockStatus,preparationTime,specifications,url
"3","Mq4800 %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d9%8a%d8%b9%d9%85%d9%84 %d8%a8%d8%a7%d9%84%d8%a8%d9%86%d8%b2%d9%8a%d9%86 %d9%85%d8%b9 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d8%a8%d8%a7%d9%84%d9%85%d9%81%d8%aa%d8%a7%d8%ad","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/3-mq4800-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D9%8A%D8%B9%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%A8%D9%86%D8%B2%D9%8A%D9%86-%D9%85%D8%B9-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A8%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%A7%D8%AD"
"6","Mq2500 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d9%8a%d8%b9%d9%85%d9%84 %d8%a8%d9%86%d8%b8%d8%a7%d9%85 %d8%a7%d9%84%d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d8%a7%d9%84%d9%8a%d8%af%d9%88%d9%8a %d8%a8%d9%82%d8%af%d8%b1%d8%a9 2200 %d9%88%d8%a7%d8%b7 %d9%83%d8%ad%d8%af %d8%a3%d9%82%d8%b5%d9%89 %d9%84%d8%a8%d8%af%d8%a1 %d8%a7%d9%84%d8%aa%d8%b4%d8%ba%d9%8a%d9%84","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/6-mq2500-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D9%8A%D8%B9%D9%85%D9%84-%D8%A8%D9%86%D8%B8%D8%A7%D9%85-%D8%A7%D9%84%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A7%D9%84%D9%8A%D8%AF%D9%88%D9%8A-%D8%A8%D9%82%D8%AF%D8%B1%D8%A9-2200-%D9%88%D8%A7%D8%B7-%D9%83%D8%AD%D8%AF-%D8%A3%D9%82%D8%B5%D9%89-%D9%84%D8%A8%D8%AF%D8%A1-%D8%A7%D9%84%D8%AA%D8%B4%D8%BA%D9%8A%D9%84"
"9","Mq5000 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%b0%d9%88 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a%d8%8c %d8%a3%d9%82%d8%b5%d9%89 %d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 3700 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/9-mq5000-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B0%D9%88-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A%D8%8C-%D8%A3%D9%82%D8%B5%D9%89-%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-3700-%D9%88%D8%A7%D8%B7"
"12","Mq6500 %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%b0%d9%88 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%a8%d8%a7%d9%84%d9%85%d9%81%d8%aa%d8%a7%d8%ad %d9%88%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 5500 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/12-mq6500-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B0%D9%88-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%A8%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%A7%D8%AD-%D9%88%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-5500-%D9%88%D8%A7%D8%B7"
"15","Mq7500 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%b0%d9%88 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d8%a8%d8%a7%d9%84%d9%85%d9%81%d8%aa%d8%a7%d8%ad %d9%88%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 5500 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/15-mq7500-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B0%D9%88-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A8%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%A7%D8%AD-%D9%88%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-5500-%D9%88%D8%A7%D8%B7"
"18","Mq7500 Si %d9%85%d9%88%d9%84%d8%af %d8%b9%d8%a7%d9%83%d8%b3 %d8%b5%d8%a7%d9%85%d8%aa %d8%a8%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 5500 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/18-mq7500-si-%D9%85%D9%88%D9%84%D8%AF-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B5%D8%A7%D9%85%D8%AA-%D8%A8%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-5500-%D9%88%D8%A7%D8%B7"
"21","Mq12500 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%a8%d8%aa%d8%ad%d9%83%d9%85 %d8%b9%d9%86 %d8%a8%d8%b9%d8%af %d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 8000 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/21-mq12500-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%A8%D8%AA%D8%AD%D9%83%D9%85-%D8%B9%D9%86-%D8%A8%D8%B9%D8%AF-%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-8000-%D9%88%D8%A7%D8%B7"
"24","Mq13000 %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%b0%d9%88 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d8%a8%d8%a7%d9%84%d9%85%d9%81%d8%aa%d8%a7%d8%ad %d9%88%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 %d8%aa%d8%a8%d9%84%d8%ba 9500 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/24-mq13000-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B0%D9%88-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D8%A8%D8%A7%D9%84%D9%85%D9%81%D8%AA%D8%A7%D8%AD-%D9%88%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-%D8%AA%D8%A8%D9%84%D8%BA-9500-%D9%88%D8%A7%D8%B7"
"27","%d9%85%d9%88%d9%84%d8%af %d8%b9%d8%a7%d9%83%d8%b3 %d8%b5%d8%a7%d9%85%d8%aa %d8%a8%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 9800 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/27-%D9%85%D9%88%D9%84%D8%AF-%D8%B9%D8%A7%D9%83%D8%B3-%D8%B5%D8%A7%D9%85%D8%AA-%D8%A8%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-9800-%D9%88%D8%A7%D8%B7"
"30","Mq15800 Oi %d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a6%d9%8a %d8%b9%d8%a7%d9%83%d8%b3 %d8%a8%d8%aa%d8%ad%d9%83%d9%85 %d8%b9%d9%86 %d8%a8%d8%b9%d8%af %d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 9800 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/30-mq15800-oi-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A-%D8%B9%D8%A7%D9%83%D8%B3-%D8%A8%D8%AA%D8%AD%D9%83%D9%85-%D8%B9%D9%86-%D8%A8%D8%B9%D8%AF-%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-9800-%D9%88%D8%A7%D8%B7"
"33","Mq10000i %d9%85%d9%88%d9%84%d8%af %d8%af%d9%8a%d8%b2%d9%84 %d8%b9%d8%a7%d9%83%d8%b3 %d8%a8%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 6500 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/33-mq10000i-%D9%85%D9%88%D9%84%D8%AF-%D8%AF%D9%8A%D8%B2%D9%84-%D8%B9%D8%A7%D9%83%D8%B3-%D8%A8%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-6500-%D9%88%D8%A7%D8%B7"
"36","%d9%85%d9%88%d9%84%d8%af %d8%af%d9%8a%d8%b2%d9%84 %d8%b9%d8%a7%d9%83%d8%b3 %d8%a8%d9%82%d8%af%d8%b1%d8%a9 %d8%a8%d8%af%d8%a1 %d8%aa%d8%b4%d8%ba%d9%8a%d9%84 %d9%82%d8%b5%d9%88%d9%89 8500 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/36-%D9%85%D9%88%D9%84%D8%AF-%D8%AF%D9%8A%D8%B2%D9%84-%D8%B9%D8%A7%D9%83%D8%B3-%D8%A8%D9%82%D8%AF%D8%B1%D8%A9-%D8%A8%D8%AF%D8%A1-%D8%AA%D8%B4%D8%BA%D9%8A%D9%84-%D9%82%D8%B5%D9%88%D9%89-8500-%D9%88%D8%A7%D8%B7"
"63","%d8%a7%d9%8a %d8%a8%d8%a7%d9%88%d8%b1 13000 %d9%88%d8%a7%d8%b7","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/63-%D8%A7%D9%8A-%D8%A8%D8%A7%D9%88%D8%B1-13000-%D9%88%D8%A7%D8%B7"
"66","%d9%85%d9%88%d9%84%d8%af %d9%83%d9%87%d8%b1%d8%a8%d8%a7%d8%a1 %d8%a8%d9%86%d8%b2%d9%8a%d9%86 %d8%a8%d9%82%d9%88%d8%a9 11000 %d9%88%d8%a7%d8%b7 %d8%b7%d8%a7%d9%82%d8%a9 %d8%a7%d8%ad%d8%aa%d9%8a%d8%a7%d8%b7%d9%8a%d8%a9 %d9%85%d9%88%d8%ab%d9%88%d9%82%d8%a9 %d9%84%d9%84%d8%a7%d8%b3%d8%aa%d8%ae%d8%af%d8%a7%d9%85 %d9%81%d9%8a %d9%85%d9%88%d8%a7%d9%82%d8%b9 %d8%a7%d9%84%d8%b9%d9%85%d9%84 %d8%a3%d9%88 %d8%a7%d9%84%d9%85%d9%86%d8%b2%d9%84","مولدات","","KWD","","In Stock","","","https://aipowerkw.com/ar/product/66-%D9%85%D9%88%D9%84%D8%AF-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A1-%D8%A8%D9%86%D8%B2%D9%8A%D9%86-%D8%A8%D9%82%D9%88%D8%A9-11000-%D9%88%D8%A7%D8%B7-%D8%B7%D8%A7%D9%82%D8%A9-%D8%A7%D8%AD%D8%AA%D9%8A%D8%A7%D8%B7%D9%8A%D8%A9-%D9%85%D9%88%D8%AB%D9%88%D9%82%D8%A9-%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%81%D9%8A-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D8%A3%D9%88-%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84"
