"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4"
"Mq4800 مولد كهربائي عاكس يعمل بالبنزين مع تشغيل بالمفتاح","mq4800-مولد-كهربائي-عاكس-يعمل-بالبنزين-مع-تشغيل-بالمفتاح","غير متوفرMQ4800 مولد كهربائي عاكس يعمل بالبنزين مع تشغيل بالمفتاحالقدرة المقدرة: ٣٣٠٠ واط رقم الموديل: MQ4800 أقصى قدرة بدء التشغيل: ٣٥٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: كهربائية القدرة الحصانية: ٨ حصان سعة خزان الوقود: ١٥ لترًا سعة زيت المحرك: ٠.٦ لتر مستوى الضوضاء: ٧٧ ديسيبل عند ٧٥٪ المقبس: ٢ × ١٣ أمبير الوزن الصافي: ٤٤ كجم الأبعاد: ٦٠٥ × ٤٧٥ × ٤٩٠ مموقت التحضير 1 يوم100.000 د.ك+ أضف إلى السلة","AIpower Kuwait","مولدات","مولد بنزين","مولدات, مولد بنزين","TRUE","Active","AIP-3","","Title","Default Title","","","","","","","","","","","TRUE","","","","","","shopify","100","DENY","","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766660686.jpg","1","Mq4800 مولد كهربائي عاكس يعمل بالبنزين مع تشغيل بالمفتاح","","FALSE","Mq4800 مولد كهربائي عاكس يعمل بالبنزين مع تشغيل بالمفتاح","غير متوفرMQ4800 مولد كهربائي عاكس يعمل بالبنزين مع تشغيل بالمفتاحالقدرة المقدرة: ٣٣٠٠ واط رقم الموديل: MQ4800 أقصى قدرة بدء التشغيل: ٣٥٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: كهربائية القدرة الحصانية: ٨ حصان سعة خزان الوقود: ١٥ لترًا سعة زيت المحرك: ٠.٦ لتر مستوى الضوضاء: ٧٧ ديسيبل عند ٧٥","","","","","","مولد بنزين","مولدات","New","FALSE","","","","",""
"","mq4800-مولد-كهربائي-عاكس-يعمل-بالبنزين-مع-تشغيل-بالمفتاح","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766660687.jpg","2","Mq4800 مولد كهربائي عاكس يعمل بالبنزين مع تشغيل بالمفتاح","","","","","","","","","","","","","","","","","",""
"","mq4800-مولد-كهربائي-عاكس-يعمل-بالبنزين-مع-تشغيل-بالمفتاح","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766660687.jpg","3","Mq4800 مولد كهربائي عاكس يعمل بالبنزين مع تشغيل بالمفتاح","","","","","","","","","","","","","","","","","",""
"Mq2500 Oi مولد كهربائي عاكس يعمل بنظام التشغيل اليدوي بقدرة 2200 واط كحد أقصى لبدء التشغيل","mq2500-oi-مولد-كهربائي-عاكس-يعمل-بنظام-التشغيل-اليدوي-بقدرة-2200-واط-كحد-أقصى-لبدء-التشغيل","غير متوفرMQ2500-OI مولد كهربائي عاكس يعمل بنظام التشغيل اليدوي بقدرة 2200 واط كحد أقصى لبدء التشغيلالقدرة المقدرة: ٢٠٠٠ واط أقصى قدرة بدء التشغيل: ٢٢٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: يدوي القدرة الحصانية: ٧.٠ حصان سعة خزان الوقود: ٧ لترات سعة زيت المحرك: ٠.٦ لتر مستوى الضوضاء: ٧٣.٩ ديسيبل عند ٧٥٪ المقبس: ١ × ١٣ أمبير الوزن الصافي: ٢٧ كجم الأبعاد: ٤٥٥ مم × ٣٨٥ مم × ٤٨٥ مموقت التحضير 1 يوم85.000 د.ك+ أضف إلى السلة","AIpower Kuwait","مولدات","مولد انفيرتر","مولدات, مولد انفيرتر","TRUE","Active","AIP-6","","Title","Default Title","","","","","","","","","","","TRUE","","","","","","shopify","100","DENY","","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647766.jpg","1","Mq2500 Oi مولد كهربائي عاكس يعمل بنظام التشغيل اليدوي بقدرة 2200 واط كحد أقصى لبدء التشغيل","","FALSE","Mq2500 Oi مولد كهربائي عاكس يعمل بنظام التشغيل اليدوي بقدرة 2200 واط كحد أقصى لبدء التشغيل","غير متوفرMQ2500-OI مولد كهربائي عاكس يعمل بنظام التشغيل اليدوي بقدرة 2200 واط كحد أقصى لبدء التشغيلالقدرة المقدرة: ٢٠٠٠ واط أقصى قدرة بدء التشغيل: ٢٢٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: يدوي القدرة الحصانية: ٧.٠ حصان سعة خزان الوقود: ٧ لترات سعة زيت المحرك: ٠.٦ لتر مستوى الضوضاء: ٧٣.٩ ","","","","","","مولد انفيرتر","مولدات","New","FALSE","","","","",""
"","mq2500-oi-مولد-كهربائي-عاكس-يعمل-بنظام-التشغيل-اليدوي-بقدرة-2200-واط-كحد-أقصى-لبدء-التشغيل","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647766.jpg","2","Mq2500 Oi مولد كهربائي عاكس يعمل بنظام التشغيل اليدوي بقدرة 2200 واط كحد أقصى لبدء التشغيل","","","","","","","","","","","","","","","","","",""
"","mq2500-oi-مولد-كهربائي-عاكس-يعمل-بنظام-التشغيل-اليدوي-بقدرة-2200-واط-كحد-أقصى-لبدء-التشغيل","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647767.jpg","3","Mq2500 Oi مولد كهربائي عاكس يعمل بنظام التشغيل اليدوي بقدرة 2200 واط كحد أقصى لبدء التشغيل","","","","","","","","","","","","","","","","","",""
"Mq5000 Oi مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واط","mq5000-oi-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي،-أقصى-قدرة-بدء-تشغيل-3700-واط","غير متوفرMQ5000-OI مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واطالقدرة المقدرة: ٣٥٠٠ واط أقصى قدرة بدء التشغيل: ٣٧٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: كهربائية القدرة الحصانية: ٨ حصان سعة خزان الوقود: ٧ لترات سعة زيت المحرك: ٠.٦ لتر مستوى الضوضاء: ٧٧ ديسيبل عند ٧٥٪ المقبس: ٢ × ١٣ أمبير الوزن الصافي: ٢٩ كجم الأبعاد: ٤٥٥ × ٣٨٥ × ٤٨٥ مموقت التحضير 1 يوم145.000 د.ك+ أضف إلى السلة","AIpower Kuwait","مولدات","مولد انفيرتر","مولدات, مولد انفيرتر","TRUE","Active","AIP-9","","Title","Default Title","","","","","","","","","","","TRUE","","","","","","shopify","100","DENY","","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647734.jpeg","1","Mq5000 Oi مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واط","","FALSE","Mq5000 Oi مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واط","غير متوفرMQ5000-OI مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واطالقدرة المقدرة: ٣٥٠٠ واط أقصى قدرة بدء التشغيل: ٣٧٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: كهربائية القدرة الحصانية: ٨ حصان سعة خزان الوقود: ٧ لترات سعة زيت المحرك: ٠.٦ لتر مستوى الضوضاء: ٧٧ ديسيبل عند ٧٥٪ ا","","","","","","مولد انفيرتر","مولدات","New","FALSE","","","","",""
"","mq5000-oi-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي،-أقصى-قدرة-بدء-تشغيل-3700-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647734.jpeg","2","Mq5000 Oi مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واط","","","","","","","","","","","","","","","","","",""
"","mq5000-oi-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي،-أقصى-قدرة-بدء-تشغيل-3700-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647735.jpeg","3","Mq5000 Oi مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واط","","","","","","","","","","","","","","","","","",""
"","mq5000-oi-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي،-أقصى-قدرة-بدء-تشغيل-3700-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647735.jpeg","4","Mq5000 Oi مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واط","","","","","","","","","","","","","","","","","",""
