"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4","Metafield: custom.specifications [json]"
"Mq4800 Electrical Start Inverter Generator 3500 Max Starting Watts","mq4800-electrical-start-inverter-generator-3500-max-starting-watts","Mq4800 Electrical Start Inverter Generator 3500 Max Starting Watts","AIpower Kuwait","Generator","Gasoline Generator","Generator, Gasoline Generator, Inverter","TRUE","Active","MQ4800","","Title","Default Title","","","","","","","","100","","","TRUE","","","","","","shopify","0","DENY","44000","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766660686.jpg","1","Mq4800 Electrical Start Inverter Generator 3500 Max Starting Watts","","FALSE","Mq4800 Electrical Start Inverter Generator 3500 Max Starting Watts","MQ4800 Electrical Start Inverter Generator 3500 Max Starting WattsRated Watts :- 3300W Model Number :- MQ4800 Max Starting Watts :- 3500W Volts :- 230V Phase, Frequency :- Single, 50Hz/60Hz Starting Method :- Electrical Horse Power (HP) :- 8.0 HP Fuel Tank Capacity :- 15L Engine Oil Capacity :- 0.6L Noise Level :- 77dB","","","","","MQ4800","Gasoline Generator","Generator","New","FALSE","","","","","","{""model_number"":""MQ4800"",""rated_watts"":""3300W"",""max_starting_watts"":""3500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""8.0 HP"",""fuel_tank_capacity"":""15L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""77dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""44KG"",""dimension"":""605mm X 475mm X 490mm"",""fuel_type"":""Inverter""}"
"","mq4800-electrical-start-inverter-generator-3500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766660687.jpg","2","Mq4800 Electrical Start Inverter Generator 3500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq4800-electrical-start-inverter-generator-3500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766660687.jpg","3","Mq4800 Electrical Start Inverter Generator 3500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"Mq2500 Oi Recoil Start Inverter Generator 2200 Max Starting Watts","mq2500-oi-recoil-start-inverter-generator-2200-max-starting-watts","Mq2500 Oi Recoil Start Inverter Generator 2200 Max Starting Watts","AIpower Kuwait","Generator","Inverter Generator","Generator, Inverter Generator, INVERTER","TRUE","Active","AIP-6","","Title","Default Title","","","","","","","","85","","","TRUE","","","","","","shopify","0","DENY","27000","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647766.jpg","1","Mq2500 Oi Recoil Start Inverter Generator 2200 Max Starting Watts","","FALSE","Mq2500 Oi Recoil Start Inverter Generator 2200 Max Starting Watts","MQ2500-OI RECOIL START INVERTER GENERATOR 2200 Max Starting WattsRated Watts :- 2000W Max Starting Watts :- 2200W Volts :- 230V Phase, Frequency :- Single, 50Hz/60Hz Starting Method :- Manual Horse Power (HP) :- 7.0 HP Fuel Tank Capacity :- 7L Engine Oil Capacity :- 0.6L Noise Level :- 73.9dBA @ 75% Socket :- 1 X 13A N","","","","","","Inverter Generator","Generator","New","FALSE","","","","","","{""rated_watts"":""2000W"",""max_starting_watts"":""2200W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Manual"",""horse_power_hp"":""7.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""73.9dBA @ 75%"",""socket"":""1 X 13A"",""net_weight"":""27KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""INVERTER""}"
"","mq2500-oi-recoil-start-inverter-generator-2200-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647766.jpg","2","Mq2500 Oi Recoil Start Inverter Generator 2200 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq2500-oi-recoil-start-inverter-generator-2200-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647767.jpg","3","Mq2500 Oi Recoil Start Inverter Generator 2200 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","mq5000-oi-electrical-start-inverter-generator-3700-max-starting-watts","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","AIpower Kuwait","Generator","Inverter Generator","Generator, Inverter Generator, Inverter","TRUE","Active","AIP-9","","Title","Default Title","","","","","","","","145","","","TRUE","","","","","","shopify","0","DENY","29000","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647734.jpeg","1","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","","FALSE","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","MQ5000-OI Electrical Start Inverter Generator 3700 Max Starting WattsRated Watts :- 3500W Max Starting Watts :- 3700W Volts :- 230V Phase, Frequency :- Single, 50Hz/60Hz Starting Method :- Electrical Horse Power (HP) :- 8.0 HP Fuel Tank Capacity :- 7L Engine Oil Capacity :- 0.6L Noise Level :- 77dBA @ 75% Socket :- 2 X","","","","","","Inverter Generator","Generator","New","FALSE","","","","","","{""rated_watts"":""3500W"",""max_starting_watts"":""3700W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""8.0 HP"",""fuel_tank_capacity"":""7L"",""engine_oil_capacity"":""0.6L"",""noise_level"":""77dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""29KG"",""dimension"":""455mm X 385mm X 485mm"",""fuel_type"":""Inverter""}"
"","mq5000-oi-electrical-start-inverter-generator-3700-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647734.jpeg","2","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq5000-oi-electrical-start-inverter-generator-3700-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647735.jpeg","3","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq5000-oi-electrical-start-inverter-generator-3700-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647735.jpeg","4","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq5000-oi-electrical-start-inverter-generator-3700-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647736.jpeg","5","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
